date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:00	118873/118873	---MC-	200	added ('OK')	text/html	date:Tue,%2027%20Aug%202024%2004:27:59%20GMT	https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0	/home/alan/websites/amazon/www.amazon.com/ap/signin650f.html	(from )
22:28:01	4151/4151	---M--	200	added ('OK')	text/plain	etag:%2293d0bf1ed9daec6b7477c2d96fc77be4%22	https://www.amazon.com/robots.txt		(from )
22:28:02	136107/136107	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2000:43:25%20GMT	https://images-na.ssl-images-amazon.com/images/I/61dZRKtG0VL._RC|11Fd9tJOdtL.css,11tfezETfFL.css,31WoRZHct0L.css,31Hhzr7NyHL.css_.css?AUIClients/AmazonUI	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/61dZRKtG0VL._RC_11Fd9tJOdtL.css,11tfezETfFL.css,31WoRZHct0L.css,31Hhzr7NyHL.css_b1fc.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:03	63172/63172	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20May%202015%2002:58:48%20GMT	https://images-na.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC|31jdWD+JB+L.css,51EK8BINbtL.css_.css?AUIClients/AuthenticationPortalAssets	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC_31jdWD+JB+L.css,51EK8BINbtL.css_7e0c.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:03	5432/5432	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jul%202024%2008:06:55%20GMT	https://images-na.ssl-images-amazon.com/images/I/21cwI2AAWQL.css?AUIClients/CVFAssets	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/21cwI2AAWQLc8b6.css	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:04	521/521	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2022%20Dec%202020%2019:40:30%20GMT	https://images-na.ssl-images-amazon.com/images/I/01wGDSlxwdL.js?AUIClients/AuthenticationPortalInlineAssets	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/01wGDSlxwdLf98e.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:05	23071/23071	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2020%20Aug%202024%2000:43:12%20GMT	https://images-na.ssl-images-amazon.com/images/I/41TpvvAgptL.js?AUIClients/CVFAssets	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/41TpvvAgptLc8b6.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:07	331197/331197	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20May%202024%2016:30:14%20GMT	https://images-na.ssl-images-amazon.com/images/I/8150jbgvn9L.js?AUIClients/SiegeClientSideEncryptionAUI	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/8150jbgvn9Lf1d7.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:07	14537/14537	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Aug%202021%2022:54:08%20GMT	https://images-na.ssl-images-amazon.com/images/I/31jdfgcsPAL.js?AUIClients/AmazonUIFormControlsJS	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/31jdfgcsPAL5973.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
22:28:08	181147/181147	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2026%20Jul%202024%2000:41:01%20GMT	https://images-na.ssl-images-amazon.com/images/I/71MFMsTQG0L.js?AUIClients/IdentityWebAuthnAssets	/home/alan/websites/amazon/images-na.ssl-images-amazon.com/images/I/71MFMsTQG0L99db.js	(from https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.com/log/s?k=log+in&ref_=nav_ya_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0)
